name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Lights,BTS,44vXWYTcdrejrIQZEoHzl8,0.625,0.663,-5.115,0.0302,0.112,98.998,0.105,0.398
Euphoria,BTS,3p6hnejEQYXkiTO1lAzVc0,0.637,0.799,-4.519,0.0338,0.394,104.995,0.0921,0.562
Terrible Things - EP Version,Mayday Parade,3ZjnFYlal0fXN6t61wdxhl,0.285,0.371,-6.833,0.0295,0.698,154.989,0.104,0.372
Just the Way You Are,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ,0.637,0.843,-5.413,0.0432,0.0151,109.012,0.0876,0.434
Somebody Else,The 1975,4m0q0xQ2BNl9SCAGKyfiGZ,0.618,0.793,-5.711,0.0601,0.204,101.015,0.126,0.459
Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,-5.599,0.0338,0.414,95.01,0.111,0.661
Best Friend,Jason Chen,1CKIgidUyOu2MjDwcd4xVd,0.637,0.659,-6.964,0.0409,0.74,102.029,0.227,0.545
"Oh Well, Oh Well",Mayday Parade,4v1DBjXexqj9YCvGKOWEY1,0.418,0.862,-3.239,0.0451,0.000261,94.476,0.129,0.258
Green Lights,NF,0MvqSYPr5Wi62JB7VWvqwz,0.735,0.655,-4.374,0.236,0.123,160.055,0.106,0.619
WHY,NF,7rjGZWlqqeEMDrAabwZQhr,0.737,0.77,-7.753,0.51,0.368,158.351,0.306,0.431
MIC Drop (Steve Aoki Remix) [Full Length Edition],BTS,75scDPqGs75FotglJSoOI2,0.606,0.848,-3.952,0.184,0.0114,170.01,0.206,0.54
Lucky You (feat. Joyner Lucas),Eminem,60SdxE8apGAxMiRrpbmLY0,0.876,0.786,-4.884,0.306,0.0627,153.068,0.127,0.575
Leave Me Alone,NF,3EtyEzMpfKSaoVhPunvbRV,0.722,0.741,-3.72,0.19,0.249,162.11,0.151,0.46
Raabta,Pritam,6FjbAnaPRPwiP3sciEYctO,0.657,0.581,-8.108,0.0298,0.699,118.037,0.116,0.323
I Always Wanna Die (Sometimes),The 1975,7iPlcFvOMOzt6v0QvcAueZ,0.376,0.473,-5.636,0.0325,0.00527,148.835,0.123,0.0398
Stay,Mayday Parade,5qFmtU2b7EvbhFG8NZOffH,0.516,0.877,-3.52,0.0435,0.00212,111.968,0.329,0.235
Remember This,NF,5dMKsEQSlR2ITYpScl7UMd,0.572,0.664,-6.362,0.206,0.434,79.196,0.109,0.278
No Excuses,NF,7ssFG94tZHpX9vbIFM0GVH,0.727,0.642,-4.915,0.087,0.0291,162.935,0.0815,0.351
Isis,Joyner Lucas,36TO60sxDduIsO3xH8IcUh,0.918,0.837,-6.792,0.255,0.234,120.017,0.227,0.855
Something Just Like This,The Chainsmokers,1dNIEtp7AY3oDAKCGg2XkH,0.607,0.649,-6.695,0.0362,0.0306,102.996,0.174,0.505
